service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
service_1190998091_531,0,0,0,0,0,0,0,20150101,20151231
service_2450955824_531,0,0,0,0,0,0,0,20150101,20151231
service_554038318_531,0,0,0,0,0,0,0,20150101,20151231
service_2222381373_531,0,0,0,0,0,0,0,20150101,20151231
service_536665660_531,0,0,0,0,0,0,0,20150101,20151231
service_1777890337_531,0,0,0,0,0,0,0,20150101,20151231
service_3248543429_531,0,0,0,0,0,0,0,20150101,20151231
service_4027471675_531,0,0,0,0,0,0,0,20150101,20151231
service_1587153220_531,0,0,0,0,0,0,0,20150101,20151231
service_3594338300_531,0,0,0,0,0,0,0,20150101,20151231
service_172079546_531,0,0,0,0,0,0,0,20150101,20151231
service_2473681897_531,0,0,0,0,0,0,0,20150101,20151231
service_2556754676_531,0,0,0,0,0,0,0,20150101,20151231
service_2219226861_531,0,0,0,0,0,0,0,20150101,20151231
service_3586844433_531,0,0,0,0,0,0,0,20150101,20151231
service_3447477045_531,0,0,0,0,0,0,0,20150101,20151231
service_4082583694_531,0,0,0,0,0,0,0,20150101,20151231
service_113757818_531,0,0,0,0,0,0,0,20150101,20151231
service_3193818081_531,0,0,0,0,0,0,0,20150101,20151231
service_3821904766_531,0,0,0,0,0,0,0,20150101,20151231
service_1805207479_531,0,0,0,0,0,0,0,20150101,20151231
service_4242985878_531,0,0,0,0,0,0,0,20150101,20151231
service_283357120_531,0,0,0,0,0,0,0,20150101,20151231
service_3637133401_531,0,0,0,0,0,0,0,20150101,20151231
service_2004943296_531,0,0,0,0,0,0,0,20150101,20151231
service_2834804272_531,0,0,0,0,0,0,0,20150101,20151231
service_805777447_531,0,0,0,0,0,0,0,20150101,20151231
service_1692734618_531,0,0,0,0,0,0,0,20150101,20151231
service_1434265781_531,0,0,0,0,0,0,0,20150101,20151231
service_2820303291_531,0,0,0,0,0,0,0,20150101,20151231
service_3412415916_531,0,0,0,0,0,0,0,20150101,20151231
service_2933346195_531,0,0,0,0,0,0,0,20150101,20151231
service_773456797_531,0,0,0,0,0,0,0,20150101,20151231
service_3641622932_531,0,0,0,0,0,0,0,20150101,20151231
service_2743760488_531,0,0,0,0,0,0,0,20150101,20151231
service_455876676_531,0,0,0,0,0,0,0,20150101,20151231
service_1840441653_531,0,0,0,0,0,0,0,20150101,20151231
service_1891449073_531,0,0,0,0,0,0,0,20150101,20151231
service_3792450189_531,0,0,0,0,0,0,0,20150101,20151231
service_3412866600_531,0,0,0,0,0,0,0,20150101,20151231
service_1140851720_531,0,0,0,0,0,0,0,20150101,20151231
service_496153791_531,0,0,0,0,0,0,0,20150101,20151231
service_10426998_531,0,0,0,0,0,0,0,20150101,20151231
service_3144430423_531,0,0,0,0,0,0,0,20150101,20151231
service_664564095_531,0,0,0,0,0,0,0,20150101,20151231
service_3478460872_531,0,0,0,0,0,0,0,20150101,20151231
service_1255295811_531,0,0,0,0,0,0,0,20150101,20151231
service_466051351_531,0,0,0,0,0,0,0,20150101,20151231
service_1736062090_531,0,0,0,0,0,0,0,20150101,20151231
service_1285006744_531,0,0,0,0,0,0,0,20150101,20151231
service_4440148_531,0,0,0,0,0,0,0,20150101,20151231
service_1454979936_531,0,0,0,0,0,0,0,20150101,20151231
service_3057745121_531,0,0,0,0,0,0,0,20150101,20151231
service_1416485902_531,0,0,0,0,0,0,0,20150101,20151231
service_2566706904_531,0,0,0,0,0,0,0,20150101,20151231
service_595775813_531,0,0,0,0,0,0,0,20150101,20151231
service_4148250272_531,0,0,0,0,0,0,0,20150101,20151231
service_839550689_531,0,0,0,0,0,0,0,20150101,20151231
service_4050302262_531,0,0,0,0,0,0,0,20150101,20151231
service_1938397936_531,0,0,0,0,0,0,0,20150101,20151231
service_1148176296_531,0,0,0,0,0,0,0,20150101,20151231
