service_id,date,exception_type
service_3117227221_531,20150408,1
service_3117227221_531,20150518,1
service_3117227221_531,20150604,1
service_3117227221_531,20150609,1
service_3117227221_531,20150706,1
service_3117227221_531,20150714,1
service_3117227221_531,20150729,1
service_3117227221_531,20150821,1
service_3117227221_531,20150930,1
service_3117227221_531,20151023,1
service_3117227221_531,20151103,1
service_3117227221_531,20151201,1
service_3613807029_531,20150206,1
service_3613807029_531,20150212,1
service_3613807029_531,20150310,1
service_3613807029_531,20150417,1
service_3613807029_531,20150429,1
service_3613807029_531,20150604,1
service_3613807029_531,20150630,1
service_3613807029_531,20150708,1
service_3613807029_531,20150721,1
service_3613807029_531,20150728,1
service_3613807029_531,20150825,1
service_3613807029_531,20150921,1
service_3613807029_531,20151005,1
service_3613807029_531,20151106,1
service_3613807029_531,20151214,1
service_3922208176_531,20150907,1
service_3922208176_531,20150910,1
service_3922208176_531,20150911,1
service_3922208176_531,20151016,1
service_3922208176_531,20151021,1
service_3922208176_531,20151112,1
service_3922208176_531,20151120,1
service_3922208176_531,20151201,1
service_537153669_531,20151006,1
service_537153669_531,20151014,1
service_537153669_531,20151111,1
service_537153669_531,20151127,1
service_537153669_531,20151222,1
service_1587153220_531,20150113,1
service_1587153220_531,20150130,1
service_1587153220_531,20150213,1
service_1587153220_531,20150216,1
service_1587153220_531,20150225,1
service_1587153220_531,20150312,1
service_3117227221_531,20150212,1
service_3117227221_531,20150220,1
service_3117227221_531,20150305,1
service_3117227221_531,20150317,1
service_1171431520_531,20150627,1
service_1171431520_531,20150718,1
service_1171431520_531,20150720,1
service_1171431520_531,20150724,1
service_1171431520_531,20150729,1
service_1171431520_531,20150731,1
service_1171431520_531,20150802,1
service_1171431520_531,20150813,1
service_1171431520_531,20150821,1
service_1171431520_531,20150825,1
service_2743760488_531,20150709,1
service_2743760488_531,20150717,1
service_2743760488_531,20150811,1
service_2743760488_531,20150817,1
service_2743760488_531,20150818,1
service_2743760488_531,20150827,1
service_1098177264_531,20150125,1
service_35903759_531,20150905,1
service_35903759_531,20150917,1
service_35903759_531,20150924,1
service_35903759_531,20150927,1
service_844845183_531,20150225,1
service_844845183_531,20151229,1
service_480902991_531,20150406,1
service_2075611735_531,20151108,1
service_2075611735_531,20151122,1
service_2075611735_531,20151129,1
service_1576131103_531,20151025,1
service_1576131103_531,20151101,1
service_1576131103_531,20151122,1
service_4134445770_531,20150923,1
service_4134445770_531,20151006,1
service_4134445770_531,20151113,1
service_4134445770_531,20151120,1
service_4134445770_531,20151203,1
service_4134445770_531,20151208,1
service_4134445770_531,20151217,1
service_1140851720_531,20150909,1
service_1140851720_531,20150924,1
service_1140851720_531,20150928,1
service_1140851720_531,20150929,1
service_1140851720_531,20151019,1
service_1140851720_531,20151020,1
service_1140851720_531,20151116,1
service_4134445770_531,20150514,1
service_4134445770_531,20150608,1
service_1098177264_531,20150406,1
service_1098177264_531,20150419,1
service_1098177264_531,20150815,1
service_1098177264_531,20151025,1
service_3802086625_531,20150617,1
service_3802086625_531,20150921,1
service_3802086625_531,20151009,1
service_4167901897_531,20151001,1
service_1182479680_531,20150604,1
service_1138673255_531,20150223,1
service_1138673255_531,20151102,1
service_445414661_531,20150109,1
service_10426998_531,20150906,1
service_10426998_531,20151115,1
service_10426998_531,20151122,1
service_445414661_531,20150402,1
service_445414661_531,20150924,1
service_4263435926_531,20150605,1
service_113757818_531,20151112,1
service_113757818_531,20151124,1
service_113757818_531,20151216,1
service_113757818_531,20151218,1
service_496153791_531,20150301,1
