route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
routes_PRA1895104R_531,agency_A18_531,,IDRIJA - GODOVIČ IMP KLIMA - AJDOVŠČINA,,3,,,
routes_PRA1895112R_531,agency_A18_531,,BABNO POLJE - LOŽ,,3,,,
routes_PRA1895122R_531,agency_A18_531,,NOVA GORICA AP - AJDOVŠČINA - VIPAVA - AC - LJUBLJANA AP,,3,,,
routes_PRA1895134R_531,agency_A18_531,,NOVA GORICA AP - KANAL - TOLMIN,,3,,,
routes_PRA1895146R_531,agency_A18_531,,TOLMIN - TOLMIN Š - MOST NA SOČI - PODBRDO,,3,,,
routes_PRA1895153R_531,agency_A18_531,,ŠEMPETER/GORICI N.LETRIKA - NOVA GORICA AP - ŠMARTNO V BRDIH - DRNOVK K,,3,,,
routes_PRA1895162R_531,agency_A18_531,,CERKNO ST.ETA - STRAŽA - ŠEBRELJE,,3,,,
routes_PRA1895172R_531,agency_A18_531,,ZAKOJCA - CERKNO ST.ETA,,3,,,
routes_PRA1895189R_531,agency_A18_531,,TOLMIN - TOLMIN Š - KAMNO VAS - KOBARID - BOVEC,,3,,,
routes_PRA1895194R_531,agency_A18_531,,LOGJE - BREGINJ - ROBIČ - KOBARID,,3,,,
routes_PRA1895206R_531,agency_A18_531,,JURIŠČE - TRNJE/PIVKI - PIVKA - POSTOJNA,,3,,,
routes_PRA1895212R_531,agency_A18_531,,ROVTE - ZAVRATEC - DOLE/IDRIJI,,3,,,
routes_PRA1895223R_531,agency_A18_531,,NOVA GORICA AP - KOSTANJEVICA NA KRASU - LIPA/KOMNU,,3,,,
routes_PRA1895233R_531,agency_A18_531,,V.DOL/KOMNU - DUTOVLJE - SEŽANA,,3,,,
routes_PRA1895242R_531,agency_A18_531,,SP.BRANICA - VOGRSKO - ŠEMPETER/GORICI N.LETRIKA,,3,,,
routes_PRA1895262R_531,agency_A18_531,,GRADIŠČE/PRVIČINI - VOLČJA DRAGA - NOVA GORICA AP,,3,,,
routes_PRA1895292R_531,agency_A18_531,,NOVA GORICA AP - ŠTANJEL - SEŽANA,,3,,,
routes_PRA1895305R_531,agency_A18_531,,LOHAČA - BUKOVJE/PREDJAMI - PREDJAMA - POSTOJNA,,3,,,
routes_PRA1895383R_531,agency_A18_531,,KOPER - SEŽANA,,3,,,
routes_PRA1895392R_531,agency_A18_531,,SEŽANA - POVIR - DIVAČA - KOPER,,3,,,
routes_PRA1895404R_531,agency_A18_531,,SEŽANA - LIPICA - DIVAČA - KOPER,,3,,,
routes_PRA1895413R_531,agency_A18_531,,RENČE - MIREN MOST - ŠEMPETER/GORICI - VIPAVA,,3,,,
routes_PRA1895428R_531,agency_A18_531,,BOVEC - KOBARID - TOLMIN - NOVA GORICA AP - AJDOVŠČINA - VIPAVA,,3,,,
routes_PRA1895436R_531,agency_A18_531,,IL.BISTRICA - PIVKA - KOČE - POSTOJNA,,3,,,
routes_PRA1895442R_531,agency_A18_531,,SEŽANA - DIVAČA - RODIK - KOZINA - KOPER,,3,,,
routes_PRA1895453R_531,agency_A18_531,,MIREN Š - KOSTANJEVICA NA KRASU - LIPA/KOMNU - SELA NA KRASU - OPATJE SELO - LOKVICA K,,3,,,
routes_PRA1895463R_531,agency_A18_531,,MIREN Š - KOSTANJEVICA NA KRASU - LIPA/KOMNU - SELA NA KRASU - OPATJE SELO - MIREN MOST,,3,,,
routes_PRA189547R_531,agency_A18_531,,SEŽANA - V.POLJE - VRABČE - RAVNJE,,3,,,
routes_PRA1895484R_531,agency_A18_531,,BOVEC - KOBARID - NOVA GORICA CP - ŠEMPETER/GORICI BIOTEHN.,,3,,,
routes_PRA1895501R_531,agency_A18_531,,BANJŠICE - KAL NAD KANALOM - ČEPOVAN - NOVA GORICA AP,,3,,,
routes_PRA189551R_531,agency_A18_531,,POSTOJNA - CERKNICA - CAJNARJE - NOVA VAS/BLOKAH,,3,,,
routes_PRA1895523R_531,agency_A18_531,,POSTOJNA - AJDOVŠČINA Š,,3,,,
routes_PRA1895541R_531,agency_A18_531,,SEŽANA - KOMEN - ŠTANJEL - AJDOVŠČINA - NOVA GORICA AP,,3,,,
routes_PRA1895553R_531,agency_A18_531,,LJUBLJANA AP - CERKNICA - BABNO POLJE,,3,,,
routes_PRA189557R_531,agency_A18_531,,BOVEC - IDRSKO - TOLMIN Š - TOLMIN,,3,,,
