route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
routes_PRA2202002R_531,service_1937168806_531,trips_PRA2202002R2_531,,1,,SHP_3432_531
routes_PRA2202002R_531,service_1937168806_531,trips_PRA2202002R5_531,,1,,SHP_3431_531
routes_PRA2202002R_531,service_1937168806_531,trips_PRA2202002R6_531,,1,,SHP_3431_531
routes_PRA2202002R_531,service_1937168806_531,trips_PRA2202002R13_531,,0,,SHP_3430_531
routes_PRA2202002R_531,service_1937168806_531,trips_PRA2202002R4_531,,1,,SHP_3431_531
routes_PRA2202002R_531,service_1937168806_531,trips_PRA2202002R11_531,,0,,SHP_3430_531
routes_PRA2202002R_531,service_1937168806_531,trips_PRA2202002R10_531,,0,,SHP_3430_531
routes_PRA2202002R_531,service_1937168806_531,trips_PRA2202002R1_531,,1,,SHP_3431_531
routes_PRA2202002R_531,service_1937168806_531,trips_PRA2202002R7_531,,1,,SHP_3431_531
routes_PRA2202002R_531,service_1937168806_531,trips_PRA2202002R8_531,,0,,SHP_3430_531
routes_PRA2202002R_531,service_1937168806_531,trips_PRA2202002R9_531,,0,,SHP_3430_531
routes_PRA2202002R_531,service_1937168806_531,trips_PRA2202002R14_531,,1,,SHP_3431_531
routes_PRA22020114R_531,service_1937168806_531,trips_PRA22020114R68_531,,0,,SHP_3435_531
routes_PRA22020114R_531,service_1937168806_531,trips_PRA22020114R62_531,,1,,SHP_3433_531
routes_PRA22020114R_531,service_1937168806_531,trips_PRA22020114R63_531,,1,,SHP_3433_531
routes_PRA22020114R_531,service_1937168806_531,trips_PRA22020114R64_531,,0,,SHP_3435_531
routes_PRA22020114R_531,service_1937168806_531,trips_PRA22020114R61_531,,1,,SHP_3433_531
routes_PRA22020114R_531,service_1937168806_531,trips_PRA22020114R65_531,,0,,SHP_3435_531
routes_PRA22020114R_531,service_1937168806_531,trips_PRA22020114R59_531,,1,,SHP_3433_531
routes_PRA22020114R_531,service_1937168806_531,trips_PRA22020114R67_531,,0,,SHP_3435_531
routes_PRA22020114R_531,service_1937168806_531,trips_PRA22020114R58_531,,1,,SHP_3434_531
routes_PRA22020114R_531,service_1937168806_531,trips_PRA22020114R69_531,,0,,SHP_3435_531
routes_PRA22020114R_531,service_1937168806_531,trips_PRA22020114R71_531,,0,,SHP_3435_531
routes_PRA22020114R_531,service_1937168806_531,trips_PRA22020114R66_531,,0,,SHP_3435_531
