Kraj,X,Y,Pop,NMV,SUM
Spodnji Cacic,45.54464,14.71347,1,556,0
Nova Gora,45.69021,15.09446,1,358,0
Komarna Vas,45.65942,15.06406,1,727,0
Koce,45.60245,14.8254,1,697,0
Hrib pri Koprivniku,45.58333,15.03333,1,661,0
Bane,45.82194,14.56633,1,775,0
Lasce,45.898,14.36853,1,495,0
Slapnik,46.04577,13.5581,1,456,0
Decina,45.47678,15.08899,1,239,0
Javornik,45.89084,14.09322,1,1042,0
Vrt,45.50018,14.9887,1,381,0
Brezec pri Podgorju,45.5116,13.92612,1,454,0
Gradisce pri Raki,45.9367,15.38098,1,292,0
Hrib pri Roznem Dolu,45.6838,15.13437,1,445,0
Rogla,46.46111,15.32798,1,1453,0
Gorenji Potok,45.52314,14.87242,1,414,0
Rake,45.49729,14.81762,1,577,0
Srobotnik ob Kolpi,45.50747,14.80047,1,420,0
Dolenji Potok,45.52157,14.89662,1,357,0
Srednji Potok,45.52151,14.88212,1,323,0
Rogati Hrib,45.56417,14.89861,2,529,0
Rajhenav,45.63444,14.99667,2,649,0
Planina,45.62449,15.0884,2,897,0
Gotenica,45.61028,14.75222,2,631,0
Planinca,45.95432,14.44936,2,545,0
Korosce,45.84719,14.4439,2,832,0
Kot ob Kolpi,45.4892,15.07052,2,207,0
Olika,45.45771,13.8921,2,184,0
Preloge,45.66627,15.16864,2,523,0
Pristava,45.78378,13.90731,2,358,0
Polzelo,45.81824,14.60606,2,511,0
Torka,46.23119,14.08907,2,1308,0
Delac,45.50324,14.89656,2,396,0
Grgelj,45.52581,14.94057,2,265,0
Jesenov Vrt,45.51266,14.84237,2,607,0
Tisenpolj,45.48727,14.88399,2,372,0
Vimolj,45.51674,14.87378,2,434,0
Preska,45.77258,14.65563,2,683,0
Gradisce pri Stjaku,45.79222,13.9295,2,504,0
Lipovec pri Kostelu,45.50942,14.89627,2,362,0
Selo pri Kostelu,45.51398,14.89235,2,412,0
Breg pri Sinjem Vrhu,45.45033,15.12302,2,309,0
Vrh pri Poljanah,45.81278,14.7,3,779,0
Tabor,45.76889,13.95806,3,589,0
Podstene pri Kostelu,45.52417,14.88306,3,379,0
Kacji Potok,45.58139,14.96972,3,534,0
Bistrica,45.5698,15.11029,3,488,0
Belvedur,45.46278,13.82361,3,415,0
Visevca,46.24909,14.5556,3,464,0
Koscake,45.85003,14.43312,3,883,0
Velika Planina,46.30377,14.6506,3,1547,0
Podlesje,45.53072,14.96777,3,531,0
Sokolici,45.46263,13.87708,3,262,0
Dule,45.78968,14.70473,3,640,0
Kot pri Rakitnici,45.68292,14.74601,3,635,0
Hribi,45.77719,13.913,3,328,0
Kal,46.21905,13.94137,3,890,0
Husica,46.34659,14.27539,3,591,0
Druzina,46.11902,14.98023,3,536,0
Dreznik,45.51439,14.85188,3,551,0
Kotel,45.78498,14.55328,3,784,0
Bogensperk,46.02343,14.85527,3,421,0
Karli,45.44885,13.89839,3,195,0
Zgornje Danje,46.23333,14.05,4,1049,0
Staro Brezje,45.60083,14.99583,4,822,0
Podstenice,45.71667,15.01667,4,585,0
Nadrozica,45.79361,13.73,4,245,0
Jelsevica,46.20067,14.90505,4,598,0
Gradisko,45.81156,14.50368,4,777,0
Gora,45.83028,14.43167,4,735,0
Cohovo,45.85761,14.46598,4,863,0
Zahrib,45.8496,14.4943,4,711,0
Trnovec,45.67681,14.96913,4,642,0
Gorenje Dole,45.98171,15.41214,4,309,0
Stari Grad v Podbocju,45.85626,15.4681,4,283,0
Finkovo,45.81203,14.67397,4,602,0
Zavrh,45.87233,14.88088,4,447,0
Bukovec,45.85082,14.51015,4,740,0
Kladnart,46.30778,15.36343,4,404,0
Mramorovo pri Luzarjih,45.79055,14.55134,4,730,0
Rajsele,45.51671,14.88358,4,410,0
Stajer,45.47709,14.8547,4,329,0
Betonovo,45.74659,14.57762,4,878,0
Pugled pri Karlovici,45.78968,14.60427,4,727,0
Malinisce,45.53641,14.71612,4,376,0
Zabrdo,46.23333,14.06667,5,1154,0
