Name,X,Y,POP,NMV,SUM
Lucija,45.50526,13.6024,5872,2,59
Izola,45.53694,13.66194,11223,5,58
Strunjan,45.525,13.60556,576,6,20
Portoroz,45.51429,13.59206,2947,6,70
Ankaran,45.57861,13.73611,3278,12,16
Secovlje,45.47667,13.62333,773,15,24
Koper,45.54694,13.72944,24996,15,186
Seca,45.49584,13.61466,1210,17,8
Bertoki,45.54556,13.76778,966,18,33
Vanganel,45.51722,13.77583,571,26,17
Jagodje,45.52845,13.64721,2225,29,18
Skocjan,45.53359,13.76363,546,30,3
Piran,45.52778,13.57056,4192,46,59
Dombrava,45.89451,13.68819,63,48,36
Orehovlje,45.88833,13.61083,480,52,13
Miren,45.89556,13.6075,1460,52,37
Bilje,45.89444,13.63222,1191,52,41
Rence,45.89,13.66861,1937,53,6
Kampel,45.51372,13.74571,699,53,11
,45.52028,13.73584,544,55,47
Dornberk,45.88972,13.73694,798,61,24
Vrtojba,45.9125,13.63417,2591,61,47
Prade,45.54003,13.77607,1129,66,13
,45.51849,13.71757,550,67,12
Rizana,45.54389,13.84861,139,68,42
Ajsevica,45.95111,13.69667,267,69,57
Dekani,45.54972,13.81361,1586,71,48
Zalosce,45.88778,13.74694,428,72,8
Dragonja,45.46056,13.66,383,72,12
Padna,45.49389,13.68472,170,73,4
Prvacina,45.89,13.71806,1268,73,25
Volcja Draga,45.90694,13.6775,743,74,35
Spodnje Skofije,45.57167,13.7925,1402,74,41
Sempeter pri Gorici,45.9275,13.64111,3760,74,131
Ceglo,45.97717,13.52261,105,75,5
Vogrsko,45.90611,13.70056,885,75,9
Saksid,45.87944,13.75611,108,75,17
Barizoni,45.59007,13.73366,136,76,10
Bukovica,45.90083,13.66722,475,78,42
Triban,45.52505,13.7578,168,81,28
Branik,45.85722,13.78417,960,83,34
Velike Zablje,45.86667,13.85056,330,89,1
Cezarji,45.53917,13.80528,528,89,8
Pobegi,45.53944,13.79611,1228,91,5
Neblo,46.00567,13.50183,213,92,3
Plavje,45.57417,13.80278,500,92,3
Deskle,46.05307,13.61382,1279,92,13
Male Zablje,45.87481,13.85752,309,93,1
Sempas,45.93028,13.74361,1146,93,33
Korte,45.49056,13.67056,762,96,12
Kortine,45.54039,13.86695,117,96,22
Potoce,45.88354,13.82203,213,97,78
Predloka,45.54031,13.87846,69,99,10
Anhovo,46.05778,13.62116,81,100,12
Krkavce,45.46278,13.69444,290,100,21
Solkan,45.97139,13.64944,3324,101,60
Dolga Poljana,45.8719,13.92951,343,102,66
Ajdovscina,45.88601,13.90946,6656,103,104
Nova Gorica,45.95604,13.64837,13178,103,191
Dolnje Cerovo,45.97889,13.55306,135,104,3
Kozmani,45.87646,13.92457,112,109,19
Bezovica,45.52834,13.89197,76,110,17
Gradisce nad Prvacino,45.88889,13.70167,505,110,30
Vipava,45.84667,13.96306,1771,110,43
,45.97359,13.53671,457,111,15
Ozeljan,45.94361,13.73028,847,111,33
Fojana,45.99639,13.50083,147,112,1
Manzan,45.50861,13.75444,475,112,4
Premancan,45.58468,13.77166,175,112,28
Cesta,45.88794,13.86961,538,114,39
Loke,45.95865,13.70449,290,117,34
Dobravlje,45.88389,13.84528,435,118,45
Spodnja Branica,45.84361,13.82972,111,119,7
Zapuze,45.88051,13.91873,377,124,42
Batuje,45.89639,13.77778,346,126,13
Duplje,45.86528,13.94972,215,129,4
Mance,45.82,13.94083,148,129,9
Prilesje pri Plavah,46.02543,13.59503,54,130,10
Slap,45.84083,13.93417,419,131,2
Loze,45.82778,13.93889,218,131,5
Cetore,45.50095,13.65425,128,131,16
Zupancici,45.48244,13.75783,42,132,1
Stara Gora,45.935,13.67528,165,133,1
Dobrovo,45.99639,13.52639,368,134,10
Kromberk,45.96083,13.66556,2081,135,55
Kozarno,46.008,13.52033,41,136,5
Vrhpolje,45.86444,13.96139,549,137,4
Podvinje,45.91667,15.66667,109,139,11
Podsabotin,45.98972,13.60806,310,140,17
Rakovec,45.92047,15.69844,58,141,1
Mostec,45.9,15.63333,216,141,20
Pristava,45.94917,13.63861,377,141,82
Dobova,45.89716,15.66371,744,142,28
Dvorce,45.88452,15.61391,118,143,9
Centur,45.50583,13.77222,148,143,11
Rozna Dolina,45.94194,13.66779,1118,144,20
Borst,45.88333,15.55,151,146,24
Krska Vas,45.9,15.56667,555,146,34
Place,45.87694,13.87611,234,146,39
Lozice,46.05485,13.60347,262,147,2
Brezice,45.90333,15.59111,6573,147,273
Krasinec,45.58333,15.28333,196,148,4
Doblice,45.55547,15.14388,186,148,12
Malo Mrasevo,45.86667,15.45,111,148,18
Breznik,45.52448,15.15925,24,148,29
Vipavski Kriz,45.88222,13.86222,196,149,1
Radovici,45.65186,15.35252,93,149,2
Jereslavec,45.93333,15.7,155,149,3
Slivje,45.85711,15.44716,36,149,5
Jesenice,45.85444,15.69111,204,149,6
Dolenja Pirosica,45.88333,15.53333,77,149,11
Vihre,45.91743,15.53167,143,149,15
Mali Nerajec,45.50333,15.19111,46,149,29
Kloster,45.61778,15.23505,77,150,6
Podbocje,45.86667,15.46667,314,150,7
Kalce-Naklo,45.88333,15.45,170,150,10
